timestep,task
0,Take the tiger out of the red bowl and put it in the grey bowl.
1,Take the tiger out of the red bowl and put it in the grey bowl.
2,Take the tiger out of the red bowl and put it in the grey bowl.
3,Take the tiger out of the red bowl and put it in the grey bowl.
4,Take the tiger out of the red bowl and put it in the grey bowl.
5,Take the tiger out of the red bowl and put it in the grey bowl.
6,Take the tiger out of the red bowl and put it in the grey bowl.
7,Take the tiger out of the red bowl and put it in the grey bowl.
8,Take the tiger out of the red bowl and put it in the grey bowl.
9,Take the tiger out of the red bowl and put it in the grey bowl.
10,Take the tiger out of the red bowl and put it in the grey bowl.
11,Take the tiger out of the red bowl and put it in the grey bowl.
12,Take the tiger out of the red bowl and put it in the grey bowl.
13,Take the tiger out of the red bowl and put it in the grey bowl.
14,Take the tiger out of the red bowl and put it in the grey bowl.
15,Take the tiger out of the red bowl and put it in the grey bowl.
16,Take the tiger out of the red bowl and put it in the grey bowl.
17,Take the tiger out of the red bowl and put it in the grey bowl.
18,Take the tiger out of the red bowl and put it in the grey bowl.
19,Take the tiger out of the red bowl and put it in the grey bowl.
20,Take the tiger out of the red bowl and put it in the grey bowl.
21,Take the tiger out of the red bowl and put it in the grey bowl.
22,Take the tiger out of the red bowl and put it in the grey bowl.
23,Take the tiger out of the red bowl and put it in the grey bowl.
24,Take the tiger out of the red bowl and put it in the grey bowl.
25,Take the tiger out of the red bowl and put it in the grey bowl.
26,Take the tiger out of the red bowl and put it in the grey bowl.
27,Take the tiger out of the red bowl and put it in the grey bowl.
28,Take the tiger out of the red bowl and put it in the grey bowl.
29,Take the tiger out of the red bowl and put it in the grey bowl.
30,Take the tiger out of the red bowl and put it in the grey bowl.
31,Take the tiger out of the red bowl and put it in the grey bowl.
32,Take the tiger out of the red bowl and put it in the grey bowl.
33,Take the tiger out of the red bowl and put it in the grey bowl.
34,Take the tiger out of the red bowl and put it in the grey bowl.
35,Take the tiger out of the red bowl and put it in the grey bowl.
36,Take the tiger out of the red bowl and put it in the grey bowl.
37,Take the tiger out of the red bowl and put it in the grey bowl.
38,Take the tiger out of the red bowl and put it in the grey bowl.
39,Take the tiger out of the red bowl and put it in the grey bowl.
40,Take the tiger out of the red bowl and put it in the grey bowl.
41,Take the tiger out of the red bowl and put it in the grey bowl.
42,Take the tiger out of the red bowl and put it in the grey bowl.
43,Take the tiger out of the red bowl and put it in the grey bowl.
44,Take the tiger out of the red bowl and put it in the grey bowl.
45,Take the tiger out of the red bowl and put it in the grey bowl.
46,Take the tiger out of the red bowl and put it in the grey bowl.
47,Take the tiger out of the red bowl and put it in the grey bowl.
48,Take the tiger out of the red bowl and put it in the grey bowl.
49,Take the tiger out of the red bowl and put it in the grey bowl.
50,Take the tiger out of the red bowl and put it in the grey bowl.
51,Take the tiger out of the red bowl and put it in the grey bowl.
52,Take the tiger out of the red bowl and put it in the grey bowl.
53,Take the tiger out of the red bowl and put it in the grey bowl.
54,Take the tiger out of the red bowl and put it in the grey bowl.
55,Take the tiger out of the red bowl and put it in the grey bowl.
56,Take the tiger out of the red bowl and put it in the grey bowl.
57,Take the tiger out of the red bowl and put it in the grey bowl.
58,Take the tiger out of the red bowl and put it in the grey bowl.
59,Take the tiger out of the red bowl and put it in the grey bowl.
60,Take the tiger out of the red bowl and put it in the grey bowl.
61,Take the tiger out of the red bowl and put it in the grey bowl.
62,Take the tiger out of the red bowl and put it in the grey bowl.
63,Take the tiger out of the red bowl and put it in the grey bowl.
64,Take the tiger out of the red bowl and put it in the grey bowl.
65,Take the tiger out of the red bowl and put it in the grey bowl.
66,Take the tiger out of the red bowl and put it in the grey bowl.
67,Take the tiger out of the red bowl and put it in the grey bowl.
68,Take the tiger out of the red bowl and put it in the grey bowl.
69,Take the tiger out of the red bowl and put it in the grey bowl.
70,Take the tiger out of the red bowl and put it in the grey bowl.
71,Take the tiger out of the red bowl and put it in the grey bowl.
72,Take the tiger out of the red bowl and put it in the grey bowl.
73,Take the tiger out of the red bowl and put it in the grey bowl.
74,Take the tiger out of the red bowl and put it in the grey bowl.
75,Take the tiger out of the red bowl and put it in the grey bowl.
76,Take the tiger out of the red bowl and put it in the grey bowl.
77,Take the tiger out of the red bowl and put it in the grey bowl.
78,Take the tiger out of the red bowl and put it in the grey bowl.
79,Take the tiger out of the red bowl and put it in the grey bowl.
80,Take the tiger out of the red bowl and put it in the grey bowl.
81,Take the tiger out of the red bowl and put it in the grey bowl.
82,Take the tiger out of the red bowl and put it in the grey bowl.
83,Take the tiger out of the red bowl and put it in the grey bowl.
84,Take the tiger out of the red bowl and put it in the grey bowl.
85,Take the tiger out of the red bowl and put it in the grey bowl.
86,Take the tiger out of the red bowl and put it in the grey bowl.
