episode_id,pred_linear_x,pred_linear_y,true_linear_x,true_linear_y,error_linear_x,error_linear_y
episode_20250815_134052_2box_hori_right_core_medium_frame_12,0.20653099,-0.29580867,1.15,1.15,0.943469,1.4458086
episode_20250815_091903_1box_vert_left_core_medium_frame_16,0.20733885,-0.30931824,1.15,0.0,0.9426611,0.30931824
episode_20250815_111646_1box_hori_right_core_medium_frame_5,0.20847915,-0.3009911,1.15,0.0,0.9415208,0.3009911
episode_20250815_134414_2box_hori_left_core_close_frame_4,0.19721077,-0.29065898,1.15,1.15,0.9527892,1.4406589
episode_20250815_124036_2box_vert_right_core_medium_frame_10,0.20568725,-0.28484678,1.15,0.0,0.9443127,0.28484678
episode_20250815_111757_1box_hori_right_variant_medium_frame_12,0.20233037,-0.29124102,1.15,1.15,0.9476696,1.441241
episode_20250815_110620_1box_hori_left_core_medium_frame_16,0.19769204,-0.30028206,1.15,0.0,0.95230794,0.30028206
episode_20250815_123304_2box_vert_left_core_medium_frame_12,0.1989526,-0.29717886,1.15,0.0,0.95104736,0.29717886
episode_20250815_112850_1box_hori_left_core_close_frame_16,0.20186305,-0.30201453,1.15,0.0,0.9481369,0.30201453
episode_20250815_090353_1box_vert_left_core_medium_frame_7,0.25283453,-0.24695754,0.0,1.15,0.25283453,1.3969575
episode_20250815_130821_2box_vert_right_variant_close_frame_13,0.19948839,-0.2934458,1.15,1.15,0.9505116,1.4434458
episode_20250815_104852_1box_vert_right_variant_far_frame_14,0.1996867,-0.30748388,1.15,1.15,0.95031327,1.4574839
episode_20250815_133239_2box_hori_left_core_medium_frame_1,0.19763407,-0.29355606,1.15,0.0,0.9523659,0.29355606
episode_20250815_121915_1box_hori_right_core_far_frame_11,0.20247968,-0.2973999,1.15,1.15,0.9475203,1.4473999
episode_20250815_104543_1box_vert_right_core_far_frame_13,0.18784674,-0.2904391,1.15,0.0,0.96215326,0.2904391
