timestep,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14
0,-3.3160787264453333,-1.780245606099264,2.4609384536743164,-2.268911663685934,-1.5708158651935022,2.932067632675171,0.3292660713195801,0.05313039943575859,0.007435387000441551,0.6938414836276047,0.7200741945616693,0.0040684485862268185,0.0077844492360777465,0.0,0.0
1,-3.316054884587423,-1.780257527028219,2.4609146118164062,-2.268924061452047,-1.5708277861224573,2.9321036338806152,0.32927021384239197,0.05313592031598091,0.007436602842062712,0.6938456669391242,0.72007010507226,0.004082040106069121,0.007782750130817317,0.0,0.0
2,-3.3160668055163782,-1.7802699247943323,2.4609506130218506,-2.268924061452047,-1.5708397070514124,2.9321155548095703,0.32926347851753235,0.05312855541706085,0.007439388427883387,0.6938544528469716,0.7200615321842345,0.004065676711219878,0.007801179769898797,0.0,0.0
3,-3.3132174650775355,-1.775367561970846,2.4573099613189697,-2.2688878218280237,-1.5716536680804651,2.9357693195343018,0.33037683367729187,0.05357251688838005,0.00737973116338253,0.6941067222743057,0.7198243538488337,0.003448992049684817,0.007540699806379227,0.0,0.0
4,-3.3086679617511194,-1.757746998463766,2.447525978088379,-2.276038471852438,-1.5747669378863733,2.938572406768799,0.33523982763290405,0.05349642038345337,0.006373191252350807,0.6935084338715434,0.7204007633140234,0.0019435536749586764,0.00806318576768627,0.0,0.0
5,-3.317970339451925,-1.7308357397662562,2.433131456375122,-2.2900636831866663,-1.5758560339557093,2.924304246902466,0.344046950340271,0.048635538667440414,0.0047367047518491745,0.6916900416285636,0.7221359856403728,0.0018231213193072341,0.009010037943232031,0.0,0.0
6,-3.336743418370382,-1.7066691557513636,2.4191558361053467,-2.303261105214254,-1.5744794050799769,2.902343511581421,0.35313016176223755,0.040918026119470596,0.0035137799568474293,0.6905039500093262,0.7232540011090839,0.0030358978075251015,0.00993620781393813,0.0,0.0
7,-3.3568697611438196,-1.6806443373309534,2.4038517475128174,-2.3160980383502405,-1.572958771382467,2.881196975708008,0.36251100897789,0.032333068549633026,0.0019163461402058601,0.690098498660158,0.723628038670649,0.004038281526637836,0.010498384588925557,0.0,0.0
8,-3.377918068562643,-1.65057880083193,2.384296417236328,-2.326752010975973,-1.5716894308673304,2.8604815006256104,0.37292855978012085,0.022687308490276337,6.733243935741484e-05,0.6901861080474085,0.7235448938310399,0.004409780649729693,0.0103187549646816,0.0,0.0
9,-3.396895949040548,-1.6229823271380823,2.3654003143310547,-2.3348377386676233,-1.5699532667743128,2.841585636138916,0.3823634386062622,0.013715275563299656,-0.0017431920859962702,0.6901866537302134,0.7235501871819721,0.004828002724528871,0.009705670060121404,0.0,0.0
10,-3.416664187108175,-1.593466583882467,2.34375,-2.3420847097979944,-1.5678580443011683,2.821706771850586,0.3926112651824951,0.0038930876180529594,-0.003598182462155819,0.6901145665827059,0.7236234855812985,0.005419641328894,0.009031256468642194,0.0,0.0
11,-3.43699556985964,-1.5623443762408655,2.319801092147827,-2.348646942769186,-1.5653675238238733,2.8016350269317627,0.40346649289131165,-0.006708033848553896,-0.005613069050014019,0.6901732187002434,0.723569907835205,0.006214130067844167,0.008300677791564338,0.0,0.0
12,-3.454609219227926,-1.5350096861468714,2.298043727874756,-2.353541676198141,-1.5630324522601526,2.7840194702148438,0.4129290282726288,-0.01628904975950718,-0.007519379258155823,0.6901413112927166,0.723601227414436,0.006973194048679991,0.007590039278590369,0.0,0.0
13,-3.472773615513937,-1.5062840620623987,2.2742037773132324,-2.356900993977682,-1.5610092321978968,2.765972375869751,0.4226536452770233,-0.026688428595662117,-0.009660770185291767,0.6901570719001004,0.7235913304997628,0.007436559047331887,0.006595462182320601,0.0,0.0
14,-3.490842882786886,-1.4774730841266077,2.248615264892578,-2.358964268361227,-1.5591171423541468,2.7480199337005615,0.4323211908340454,-0.03725052252411842,-0.011598790995776653,0.6901937682865781,0.723556831384527,0.007979311441869164,0.005865540390298234,0.0,0.0
15,-3.5077510515796106,-1.4513357321368616,2.2272424697875977,-2.3637517134295862,-1.557728115712301,2.7312772274017334,0.44118425250053406,-0.04807101935148239,-0.014154710806906223,0.6902015988656506,0.7235448338698202,0.00850272603967755,0.00568594350027203,0.0,0.0
16,-3.525342051182882,-1.42338735262026,2.205738067626953,-2.3695338408099573,-1.556901756917135,2.7137551307678223,0.44947710633277893,-0.05928400158882141,-0.017594901844859123,0.690201013935397,0.7235458089464899,0.008671225320363862,0.0053695968157094,0.0,0.0
17,-3.543544117604391,-1.3950427214251917,2.183384418487549,-2.374680821095602,-1.5564349333392542,2.695477247238159,0.457601934671402,-0.07123738527297974,-0.02127530425786972,0.690150744185958,0.7235963470407202,0.00864973092555077,0.005045691608668792,0.0,0.0
18,-3.559758965169088,-1.3712180296527308,2.1642632484436035,-2.3788560072528284,-1.5557048956500452,2.6795244216918945,0.4642450511455536,-0.08190830051898956,-0.024510912597179413,0.6902237919337967,0.72352611680334,0.00882914524599865,0.004808486896682898,0.0,0.0
19,-3.579590145741598,-1.342860523854391,2.143070697784424,-2.3857062498675745,-1.5546749273883265,2.659555435180664,0.4711272716522217,-0.09440870583057404,-0.028889194130897522,0.6901479116354338,0.7235963758198813,0.009105391221424688,0.004608342032386708,0.0,0.0
20,-3.598440233861105,-1.316852871571676,2.125877857208252,-2.3934925238238733,-1.5536688009845179,2.6409401893615723,0.4768511652946472,-0.10707581043243408,-0.03418749198317528,0.6902069461365303,0.7235384404558882,0.00943198157386142,0.004187411030225519,0.0,0.0
21,-3.6224997679339808,-1.2883260885821741,2.1143245697021484,-2.411788288746969,-1.5498011747943323,2.617013931274414,0.4809624254703522,-0.12092705070972443,-0.04180065542459488,0.6901976036871532,0.7235171796962869,0.011399454789358048,0.0044956622813069206,0.0,0.0
22,-3.647745911275045,-1.2623656431781214,2.113462448120117,-2.441096607838766,-1.5440180937396448,2.59213924407959,0.4822389781475067,-0.1337897926568985,-0.05113377422094345,0.6902331074504928,0.7234131765428012,0.014659307849498997,0.006061194343049776,0.0,0.0
23,-3.6679988543139856,-1.2406256834613245,2.1144680976867676,-2.4676454702960413,-1.5399463812457483,2.571927070617676,0.4825179874897003,-0.14408528804779053,-0.059419140219688416,0.6901561220378242,0.7234196959988758,0.01700005307897803,0.007711604886023352,0.0,0.0
24,-3.6907671133624476,-1.20878774324526,2.118251323699951,-2.5099218527423304,-1.5368335882769983,2.549556255340576,0.4825611114501953,-0.1561475247144699,-0.07206928730010986,0.6901655896498295,0.723315367475999,0.019117460398002065,0.0109936683729554,0.0,0.0
